hp,value,time
"[30, 0.75, 0.3]",91,0.27833231700060423
"[30, 0.75, 0.3]",9133883,0.1361742349999986
"[30, 0.75, 0.3]",9886008,0.1403357529998175
"[30, 0.85, 0.1]",13,0.2798590080001304
"[30, 0.85, 0.1]",40,0.2834051690006163
"[30, 0.85, 0.1]",40,0.28945451399886224
"[30, 0.85, 0.1]",40,0.30062946299949544
"[30, 0.85, 0.1]",89,0.2373329530000774
"[30, 0.85, 0.1]",77,0.26353593299973
"[30, 0.85, 0.1]",111,0.2666874339993228
"[30, 0.85, 0.1]",92,0.24650157799987937
"[30, 0.85, 0.1]",9135790,0.13290750499982096
"[30, 0.85, 0.1]",9897689,0.13140123700031836
"[30, 0.85, 0.2]",13,0.2953231949995825
"[30, 0.85, 0.2]",40,0.28151044600053865
"[30, 0.85, 0.2]",40,0.28240177300176583
"[30, 0.85, 0.2]",40,0.31902506400001585
"[30, 0.85, 0.2]",80,0.24434277699947415
"[30, 0.85, 0.2]",78,0.23935697799970512
"[30, 0.85, 0.2]",111,0.2982677859999967
"[30, 0.85, 0.2]",92,0.2543404339994595
"[30, 0.85, 0.2]",8977734,0.14443463899988274
"[30, 0.85, 0.2]",9802192,0.15206389400009357
"[30, 0.85, 0.3]",13,0.3021778370002721
"[30, 0.85, 0.3]",40,0.30474099299863155
"[30, 0.85, 0.3]",40,0.30583578100049635
"[30, 0.85, 0.3]",40,0.2906006039993372
"[30, 0.85, 0.3]",81,0.2956813979999424
"[30, 0.85, 0.3]",70,0.2585294979999162
"[30, 0.85, 0.3]",116,0.2814291200011212
"[30, 0.85, 0.3]",92,0.26521068300098705
"[30, 0.85, 0.3]",9098631,0.150312257999758
"[30, 0.85, 0.3]",9695645,0.16899721900153963
"[30, 0.95, 0.1]",13,0.2772249989993725
"[30, 0.95, 0.1]",40,0.271486472000106
"[30, 0.95, 0.1]",40,0.28294805500081566
"[30, 0.95, 0.1]",40,0.29101463799997873
"[30, 0.95, 0.1]",83,0.23837797200030764
"[30, 0.95, 0.1]",70,0.23765268699935405
"[30, 0.95, 0.1]",116,0.29608451099920785
"[30, 0.95, 0.1]",92,0.2579219039998861
"[30, 0.95, 0.1]",9160972,0.1355614340009197
"[30, 0.95, 0.1]",9851886,0.162952677001158
"[30, 0.95, 0.2]",13,0.28113459999985935
"[30, 0.95, 0.2]",40,0.29295494300095015
"[30, 0.95, 0.2]",40,0.34650860900001135
"[30, 0.95, 0.2]",40,0.2837873810003657
"[30, 0.95, 0.2]",90,0.2533842430002551
"[30, 0.95, 0.2]",71,0.26902217300084885
"[30, 0.95, 0.2]",116,0.2862858819989924
"[30, 0.95, 0.2]",92,0.25069327399978647
"[30, 0.95, 0.2]",9104465,0.1466476710011193
"[30, 0.95, 0.2]",9891261,0.143018046999714
"[30, 0.95, 0.3]",13,0.2911954360006348
"[30, 0.95, 0.3]",40,0.32843899599902215
"[30, 0.95, 0.3]",40,0.28665144800106646
"[30, 0.95, 0.3]",40,0.3102199320001091
"[30, 0.95, 0.3]",84,0.2596772990000318
"[30, 0.95, 0.3]",75,0.2903541489995405
"[30, 0.95, 0.3]",116,0.3014799199991103
"[30, 0.95, 0.3]",92,0.2676262149998365
"[30, 0.95, 0.3]",9125666,0.15437562799888838
"[30, 0.95, 0.3]",9895002,0.1444902359999105
